review_id,review_text,rating,category,verified_purchase,helpful_votes,review_date,sentiment
R00000,Best purchase I've made in months. Customer service was helpful.,4,Sports,True,0,2025-10-02,Positive
R00001,Decent but could be better.,3,Home & Kitchen,False,0,2025-10-24,Neutral
R00002,"Bad quality, not worth the price. Customer service was unhelpful.",2,Home & Kitchen,False,3,2025-04-13,Negative
R00003,"Completely unsatisfied, want refund. The books quality is poor.",1,Books,True,1,2025-06-10,Negative
R00004,"Worst purchase ever, total waste. Not as shown in pictures.",1,Home & Kitchen,False,0,2025-08-10,Negative
R00005,Exceeded my expectations completely. Great packaging.,4,Books,True,0,2025-09-23,Positive
R00006,"Fantastic product, great value for money. Fast delivery!",5,Sports,False,6,2025-06-04,Positive
R00007,"Perfect product, fast delivery. Fast delivery!",4,Clothing,True,0,2025-05-13,Positive
R00008,Very disappointed with the quality. Not as shown in pictures.,1,Beauty,True,2,2025-12-09,Negative
R00009,"Amazing quality, worth every penny. Fast delivery!",4,Beauty,True,0,2025-07-14,Positive
R00010,Best purchase I've made in months. Great packaging.,5,Beauty,True,0,2025-07-08,Positive
R00011,Best purchase I've made in months. Fast delivery!,5,Sports,False,1,2025-12-22,Positive
R00012,"It's okay, nothing special.",3,Sports,True,0,2026-01-23,Neutral
R00013,Best purchase I've made in months. Exactly as described.,5,Books,True,2,2025-04-18,Positive
R00014,Exceeded my expectations completely. Fast delivery!,4,Clothing,True,0,2025-09-19,Positive
R00015,"Amazing quality, worth every penny. The books quality is excellent.",5,Books,True,0,2025-06-30,Positive
R00016,Best purchase I've made in months. Exactly as described.,5,Books,True,0,2025-09-23,Positive
R00017,Exceeded my expectations completely. Exactly as described.,5,Clothing,True,1,2025-12-21,Positive
R00018,Exceeded my expectations completely. The home & kitchen quality is excellent.,4,Home & Kitchen,True,0,2025-10-28,Positive
R00019,Exceeded my expectations completely. Customer service was helpful.,5,Sports,True,0,2026-01-19,Positive
R00020,"Poor quality, broke after one use. Not as shown in pictures.",2,Home & Kitchen,False,3,2025-09-20,Negative
R00021,Loved it! Will buy again. Exactly as described.,4,Books,True,0,2025-02-18,Positive
R00022,Excellent product! Highly recommended. The beauty quality is excellent.,4,Beauty,True,0,2025-10-03,Positive
R00023,"Great purchase, very satisfied. Exactly as described.",5,Electronics,True,0,2025-03-31,Positive
R00024,"It's okay, nothing special.",3,Home & Kitchen,True,0,2025-03-20,Neutral
R00025,Exceeded my expectations completely. Fast delivery!,5,Books,True,0,2025-11-12,Positive
R00026,"Average product, does the job.",3,Clothing,True,0,2025-02-23,Neutral
R00027,"It's okay, nothing special.",3,Electronics,True,0,2025-09-24,Neutral
R00028,Outstanding quality and service. Great packaging.,4,Clothing,True,0,2025-08-01,Positive
R00029,Acceptable for the price.,3,Beauty,True,0,2025-07-18,Neutral
R00030,"Fantastic product, great value for money. Great packaging.",4,Electronics,True,0,2025-02-17,Positive
R00031,Loved it! Will buy again. Exactly as described.,5,Books,True,3,2025-09-06,Positive
